ACCESS-STARTED,5/3/2019,9:0:4
2019-3-5|9:0:5,23.57,40.59
2019-3-5|9:0:6,23.63,40.59
2019-3-5|9:0:7,24.21,40.86
2019-3-5|9:0:8,24.83,41.36
2019-3-5|9:0:9,25.40,42.09
2019-3-5|9:0:11,25.91,42.91
2019-3-5|9:0:12,26.35,43.81
2019-3-5|9:0:13,26.75,44.67
2019-3-5|9:0:14,27.10,45.55
2019-3-5|9:0:15,27.41,46.39
2019-3-5|9:0:16,27.68,47.19
2019-3-5|9:0:17,27.91,47.94
2019-3-5|9:0:18,28.12,48.68
2019-3-5|9:0:19,28.30,49.35
2019-3-5|9:0:20,28.46,49.99
2019-3-5|9:0:21,28.60,50.60
2019-3-5|9:0:23,28.73,51.17
2019-3-5|9:0:24,28.84,51.70
2019-3-5|9:0:25,28.94,52.23
2019-3-5|9:0:26,29.03,52.70
2019-3-5|9:0:27,28.99,53.04
2019-3-5|9:0:28,28.76,52.46
2019-3-5|9:0:29,28.50,51.11
2019-3-5|9:0:30,28.24,49.57
2019-3-5|9:0:31,28.00,48.06
2019-3-5|9:0:32,27.78,46.67
2019-3-5|9:0:33,27.57,45.41
2019-3-5|9:0:35,27.39,44.29
2019-3-5|9:0:36,27.23,43.34
2019-3-5|9:0:37,27.08,42.49
ACCESS-STOPPED,5/3/2019,9:0:37,30
ACCESS-STARTED,5/3/2019,9:0:44
2019-3-5|9:0:44,26.34,38.99
2019-3-5|9:0:45,26.56,38.84
2019-3-5|9:0:46,26.97,38.94
2019-3-5|9:0:47,27.37,39.28
ACCESS-STOPPED,5/3/2019,9:0:48,4
ACCESS-STARTED,5/3/2019,9:1:5
2019-3-5|9:1:6,26.09,36.90
2019-3-5|9:1:7,26.04,36.85
2019-3-5|9:1:8,25.99,36.81
2019-3-5|9:1:9,26.21,36.89
2019-3-5|9:1:10,26.62,37.38
2019-3-5|9:1:11,26.99,38.32
2019-3-5|9:1:12,27.32,39.56
2019-3-5|9:1:13,27.62,40.99
ACCESS-STOPPED,5/3/2019,9:1:14,8
ACCESS-STARTED,5/3/2019,9:1:22
2019-3-5|9:1:23,26.72,40.20
2019-3-5|9:1:24,27.00,39.99
2019-3-5|9:1:25,27.42,40.04
2019-3-5|9:1:26,27.81,40.33
2019-3-5|9:1:27,28.16,40.79
2019-3-5|9:1:28,28.48,41.37
2019-3-5|9:1:29,28.74,42.01
2019-3-5|9:1:31,28.98,42.71
2019-3-5|9:1:32,29.18,43.42
2019-3-5|9:1:33,29.36,44.13
2019-3-5|9:1:34,29.52,44.84
2019-3-5|9:1:35,29.65,45.52
2019-3-5|9:1:36,29.78,46.18
2019-3-5|9:1:37,29.89,46.81
ACCESS-STOPPED,5/3/2019,9:1:38,14
